Title,Description,Learning resource URL,Skills,Category that best fits this resource (can select multiple),Role level this resource is targeted at,Format,Author,Cost,Duration
70:20:10 Intermediate Professional Development,Ways you can develop your intermediate procurement capabilities under the 70:20:10 model. Includes learning from others and work-based experiences.,https://info.buy.nsw.gov.au/training/intermediate-professional-development,"PRAN:3,STPR:2,PANA:2,CONE:2,PRRI:2,SURE:2,CONM:2,LEAN:2,COLA:2,COSM:2",,,Online,NSW Government,0,10
70:20:10 Advanced Professional Development,Ways you can develop your advanced procurement capabilities under the 70:20:10 model. Includes learning from others and work-based experiences.,https://info.buy.nsw.gov.au/training/advanced-professional-development,"PRAN:4,STPR:3,PANA:3,CONE:3,PRRI:3,SURE:3,CONM:3,LEAN:3,COLA:3,COSM:3",,,Online,NSW Government,0,10
What is Corruption?,"The NSW ICAC works to expose, investigate and prevent public sector corruption in the state of NSW. This short video explains what corrupt conduct is through real-life examples applicable to the jurisdiction of the NSW ICAC. If you suspect corruption is taking place at a NSW government agency, our FAQs can help you better understand what it means to report corruption to the NSW ICAC.",https://www.youtube.com/watch?v=GOLoWdcnK_o,"PRAN:1,PRRI:1,LEAN:1",,,Online,NSW Independent Commission Against Corruption,0,0.08
How to Recognise the Signs of Corruption,"There are red flags that can help uncover corruption. While purchasing goods and services are everyday tasks in the public sector, these activities can be vulnerable to exploitation for private benefit by NSW public officials, suppliers and cybercriminals. This video by the NSW Independent Commission Against Corruption (ICAC), NSW, Australia, provides examples of red flags commonly associated with corrupt procurement activities within public authorities. A single red flag can indicate serious corruption, but it could also highlight poor practice that is not corrupt, something that legitimately arises from an unusual circumstance, or an honest mistake. If you see a red flag, it is important that you raise it with your manager. If it cannot be clearly explained, then you are encouraged to report it internally and/or to make a report to the ICAC. ",https://www.youtube.com/watch?v=c833XAx8HEs,"PRAN:1,PRRI:1,LEAN:1",,,Online,NSW Independent Commission Against Corruption,0,0.07
"Corruption Pitfalls: Gifts, Hospitality and Bribes","This short video by the NSW Independent Commission Against Corruption (ICAC), NSW, Australia, aims to raise awareness among public officials of the pitfalls when offered gifts and hospitality from external parties such as suppliers, applicants or customers. A gift can be anything of value; tickets, accommodation, food, or discounts on goods and services. While some gifts and hospitality are token in nature and do not entail much risk – for example, a modest thank you gift presented to a speaker at a conference – others may be intended to secure favourable treatment or cultivate a relationship with a government employee. These “gifts-of-influence” are often the subject of complaints made to the ICAC.",https://www.youtube.com/watch?v=zjeYNw0vSoQ,"PRAN:1,PRRI:1,LEAN:1",,,Online,NSW Independent Commission Against Corruption,0,0.08
How to Report Corrupt Conduct,"Many successful investigations into corruption start with complaints or allegations that are provided by members of the public or public officials to the NSW Independent Commission Against Corruption (ICAC), NSW, Australia. The ICAC takes every complaint seriously and carefully assesses the information it receives. All information is treated securely and in confidence. Anyone can make a complaint to the ICAC. This short video provides an overview of: how you can make a complaint, including anonymously, important things to consider and include when making a complaint, action the ICAC can take once it assesses your complaint. Corruption is everyone’s problem and you can help the ICAC to combat corruption by promptly reporting your concerns.",https://www.youtube.com/watch?v=mv9anlOZtZk,"PRAN:1,PRRI:1,LEAN:1",,,Online,NSW Independent Commission Against Corruption,0,0.08
What is a Conflict of Interest?,"This video by the NSW ICAC provides a concise definition of conflict of interest as it pertains to the public service in the state of NSW. A conflict of interest exists when a reasonable person perceives that a public official’s personal interests are favoured over their public duties. Unfortunately, conflicts of interest for public officials are an unavoidable aspect of public service and are often insufficiently understood and mismanaged. If you see or suspect a conflict of interest involving any NSW public officials, it is important to speak up about it. The ICAC has a range of resources available to better understand this basic standard of corruption prevention. Download the ICAC's Managing conflicts of interest in the NSW pubic sector publication for further information on dealing with conflicts of interest.",https://www.youtube.com/watch?v=-AhmA8z6lIc,"PRAN:1,PRRI:1,LEAN:1",,,Online,NSW Independent Commission Against Corruption,0,0.07
Supplier Due Diligence: A Guide for NSW Public Sector Agencies,"In June 2020, the NSW Independent Commission Against Corruption (NSW ICAC), Australia, released a guide to help public sector agencies design and implement checks on potential and existing suppliers with which they decide to engage. This short video provides an overview of the guide titled, Supplier due diligence: a guide for NSW public sector agencies. The NSW ICAC has a suite of publications that can help agencies improve their corruption prevention strategies. More information: www.icac.nsw.gov.au.",https://www.youtube.com/watch?v=HMK6qHKn2cY,"PRAN:1,PRRI:1,LEAN:1",,,Online,NSW Independent Commission Against Corruption,0,0.05
Reporting Corruption to the NSW ICAC (Publication),"Learn how to report corrupt conduct to the NSW ICAC, including what corruption is, why reporting corruption is important, what matters the ICAC can consider, who can provide information to the ICAC and how.",https://www.icac.nsw.gov.au/education-and-events/education-and-events-publications,"PRAN:1,PRRI:1,LEAN:1",,,Online,NSW Independent Commission Against Corruption,0,0.5
"Probity in Procurement:
Tips from a Professional (Publication)",Top tips on probity in procurement from an experienced probity adviser.,https://www.icac.nsw.gov.au/education-and-events/education-and-events-publications,"PRAN:1,PRRI:1,LEAN:1",,,Online,NSW Independent Commission Against Corruption,0,0.5
Corruption Risks in Procurement: The Management Challenge (Publication),"Learn about ways to control corruption in procurement, including strengthening procurement structures, the process of procurement, and the people factor. This report includes case studies of real investigations to illustrate weaknesses related to structures, processes and people that allowed corruption in procurement to occur.",https://www.icac.nsw.gov.au/education-and-events/education-and-events-publications,"PRAN:1,PRAN:2,PRRI:1,PRRI:2,LEAN:1",,,Online,NSW Independent Commission Against Corruption,0,1
Corruption Risks in Procurement: Recommendations to Government (Publication),"This report makes recommendations aimed at establishing clear leadership, a clear structure, a simplified regulatory environment and effective assistance to operational agencies in NSW.",https://www.icac.nsw.gov.au/education-and-events/education-and-events-publications,"PRAN:1,PRAN:2,PRRI:1,PRRI:2,LEAN:1",,,Online,NSW Independent Commission Against Corruption,0,2
Corruption Risks in Procurement: Suppliers' Perception of Corruption (Publication),This research paper provides a picture of the extent of corruption from the perspective of suppliers to NSW state and local government.,https://www.icac.nsw.gov.au/education-and-events/education-and-events-publications,"PRAN:1,PRAN:2,PRRI:1,PRRI:2,LEAN:1",,,Online,NSW Independent Commission Against Corruption,0,1.5
Managing Conflicts of Interest in the NSW Public Sector (Publication),"The NSW ICAC's guidance in relation to conflicts of interest. It explains how to identify, disclose and manage a conflict of interest and sets out a broad control framework for public sector agencies to consider.",https://www.icac.nsw.gov.au/education-and-events/education-and-events-publications,"PRAN:1,PRAN:2,STSO:1,PRRI:1,PRRI:2,LEAN:1",,,Online,NSW Independent Commission Against Corruption,0,1.5
Direct Negotiations: Guidelines for Managing Risks (Publication),"Learn how to deal with direct negotiations, including what direct negotiations are, corruption risks, whether to undertake direct negotiations and how to undertake direct
negotiations.",https://www.icac.nsw.gov.au/education-and-events/education-and-events-publications,"PRAN:1,PRAN:2,STSO:1,PRRI:1,PRRI:2,LEAN:1",,,Online,NSW Independent Commission Against Corruption,0,2
Dealing with Incumbent Providers in Procurement (Publication),"Learn how to deal with incumbent providers in procurement, including why incumbency is sometimes an issue, probity considerations, mitigating the risks and helping to ensure integrity.",https://www.icac.nsw.gov.au/education-and-events/education-and-events-publications,"PRAN:1,PRAN:2,1,PRRI:1,PRRI:2,SURE:1,CONM:1,CONM:2,LEAN:1",,,Online,NSW Independent Commission Against Corruption,0,0.5
Supplier Due Diligence: A Guide for NSW Public Sector Agencies (Publication),"Guidance on undertaking supplier due diligence in the public sector, including why supplier due diligence is important, understanding risk and red flags, practical issues whenperforming due diligence, and due diligence checks.",https://www.icac.nsw.gov.au/education-and-events/education-and-events-publications,"PRAN:1,PRAN:2,PANA:1,STSO:1,PRRI:1,PRRI:2,LEAN:1",,,Online,NSW Independent Commission Against Corruption,0,2
