ANZSCO Code,ID,Role,Purpose,Job Family Function,Job Family Role,Role Function,Alias,Grade,Salary min,Salary max,Procurement Occupation Specific focus,NSWG capabilities focus,Manager
139999,12,Manager Contracts,"The Manager Contracts manages commercial contracts from award to completion, including supplier relationship development, contract performance and risk management, to achieve value for money and meet stakeholder expectations and business outcomes.",Procurement and Contract Management,Contract Management,Contract Management,Senior Manager Contracts,Clerk Grade 11/12,"$134,400","$155,400","PRRI3, SURE4, CONM4","ACWI4, COEF4, INAN4, DERE3, THAN4, PRAN4, OPBU3",1
133612,13,Manager Procurement,"The Manager Procurement leads and directs the provision of procurement services, including procurement planning, development, sourcing, contract and risk management activities, to achieve value for money and to meet business needs and government directions on procurement.",Procurement and Contract Management,Procurement Services,Procurement and Strategic Sourcing,"Procurement Manager, Strategic Procurement Manager",Clerk Grade 11/12,"$134,400","$155,400","STSO4, CONE4, PRRI4","ACWI4, COTO4, INAN3, DERE3, THAN4, PRAN4, MAAN3, OPBU3",1
133612,14,Category Manager,"The Category Manager provides leadership and direction in the categories under management, including supply market management and development, strategic planning and execution, and contract and risk management activities, to meet business needs and government directions.",Procurement and Contract Management,Procurement Services,Category Management,Portfolio Manager,Clerk Grade 11/12,"$134,400","$155,400","PANA3, STSO3, CONE4, PRRI3","ACWI4, COEF4, INAN4, DERE3, PRAN4, MAAN3, OPBU4",1
224999,15,Senior Procurement Analyst,"The Senior Procurement Analyst develops procurement intelligence, from a range of data sources, through business analysis, cost modelling, reporting, and performance analysis to inform procurement decisions, support performance improvement, and to enable stakeholders to meet business needs.",Procurement and Contract Management,Procurement Analysis,Procurement Analysis,,Clerk Grade 9/10,"$116,200","$128,000","PANA3, PRRI3, COSM4","ACWI3, COEF3, THAN3, MAAN3, TECH3, PRAN2",1
224999,16,Senior Procurement Officer,"The Senior Procurement Officer partners with stakeholders to plan, develop, source and manage procurement arrangements to deliver value for money and effectively meet business outcomes and government directions.",Procurement and Contract Management,Procurement Services,Procurement and Strategic Sourcing,"Senior Sourcing Advisor, Senior Sourcing Officer, Senior Purchasing Officer, Senior Buyer, Senior Project Officer, Senior Procurement Consultant",Clerk Grade 9/10,"$116,200","$128,000","PANA3, STSO3, PRRI3","ACWI3, COTO3, DERE2, MAAN2, PRAN3",1
224999,17,Senior Category Officer,"The Senior Category Officer partners with stakeholders in a category/range of categories to plan, develop, source and manage procurement arrangements to deliver value for money and effectively meet business outcomes and government directions.",Procurement and Contract Management,Procurement Services,Category Management,"Procurement Category Specialist, Procurement Specialist",Clerk Grade 9/10,"$116,200","$128,000","PANA3, STSO3, PRRI3","ACWI3, COTO3, DERE2, PRAN3",1
224999,18,Senior Procurement Policy Officer,"The Senior Procurement Policy Officer is responsible for supporting whole of government policy initiatives. The objective of the role is to lead project management of the strategy and program actions, including leading documentation and ongoing reporting on actions, and support implementation of a portfolio of policy initiatives and reforms.",Procurement and Contract Management,Procurement Advice,Policy and Governance,Senior Policy Officer,Clerk Grade 9/10,"$116,200","$128,000","STRP3, PRRI3, LEAN4","DIRE3, ACWI3, COEF3, INAN3, DERE3, THAN3, MAAN2, PRMA3, PRAN3",1
511111,19,Senior Contracts Officer,"The Senior Contracts Administrator manages established contracts, including ensuring information integrity, negotiating changes/modifications and monitoring supplier performance to deliver outcomes aligned with stakeholder expectations and government directions.",Procurement and Contract Management,Contract Management,Contract Management,"Senior Contracts Administrator, Contract Implementation Officer, Senior Contracts Advisor, Senior Supplier Relationship Manager",Clerk Grade 9/10,"$116,200","$128,000","PRRI3, SURE3, CONM3, COLA3","ACWI4, COEF3, DERE3, THAN3, PRAN4, OPBU2",1
224999,20,Senior Procurement Advisor,"The Senior Procurement Advisor provides expert technical procurement advice on policies, procedures, systems and standards to key stakeholders undertaking procurement planning, sourcing and contract management activities, to enable them to meet business needs and government directions.",Procurement and Contract Management,Procurement Advice,Procurement Advice,"Procurement Specialist, Senior Advisor",Clerk Grade 9/10,"$116,200","$128,000","PANA3, STSO2, PRRI3","ACWI3, COEF3, WOCO3, DERE3, THAN3, PRAN3",1
591113,21,Procurement Advisor,"The Procurement Advisor provides technical procurement expertise on policies, procedures, systems and standards to assist stakeholders undertaking procurement planning, development, sourcing and management to make strategic decisions and effectively meet organisational and business objectives.",Procurement and Contract Management,Procurement Advice,Procurement Advice,Procurement Consultant,Clerk Grade 7/8,"$101,900","$112,800","PANA2, PRRI2","ACWI2, COTO2, WOCO2, THAN3, PRAN3",
224412,22,Procurement Governance Officer,"The Procurement Governance Officer provides technical expertise on procurement policy, governance and complaints management. The role is also responsible for reviewing procurement activity for due diligence, assisting in the implementation of internal control measures stemming from internal and external audit activity and updating procurement processes and support material to reflect changes to policy. This role is fundamental in ensuring compliance with the NSW Government Procurement Framework.",Procurement and Contract Management,Procurement Advice,Policy and Governance,"Project Officer, Project Coordinator",Clerk Grade 7/8,"$101,900","$112,800","PRRI2, LEAN2","DIRE2, MASE3, COEF3, THAN3, PRAN2",
224412,23,Procurement Policy Officer,"The Procurement Policy Officer coordinates and undertakes policy development, providing analysis and advice, to support Agency and/or Government policy initiatives and commitments.",Procurement and Contract Management,Procurement Advice,Policy and Governance,Policy Officer,Clerk Grade 7/8,"$101,900","$112,800","PRRI2, LEAN2","DIRE2, MASE3, COEF3, DERE2, THAN3, PRMA2, PRAN2",
224999,24,Procurement Analyst,"The Procurement Analyst provides procurement and analytical expertise, including research, cost modelling, analytical support services and visualisation tasks, to inform procurement and category management, decision-making, strategy, and support and improve service delivery. ",Procurement and Contract Management,Procurement Analysis,Procurement Analysis,"Procurement Spend Analyst, Procurement Data Analyst, Business Intelligence Analyst, Data Analyst",Clerk Grade 7/8,"$101,900","$112,800","PANA3, PRRI2, COSM3","ACWI2, COEF3, COTO2, THAN3, PRAN3",
591113,25,Procurement Officer,"The Procurement Officer provides procurement expertise and assists stakeholders to plan, develop, source and manage procurement arrangements to effectively meet business outcomes and government directions.",Procurement and Contract Management,Procurement Services,Procurement and Strategic Sourcing,"Procurement Coordinator, Sourcing Advisor, Sourcing Officer, Purchasing Officer, Buyer, Project Officer, Project Coordinator, Procurement Consultant",Clerk Grade 7/8,"$101,900","$112,800","PANA2, STSO2, PRRI2","ACWI3, COTO2, DERE2, PRAN3",
591113,26,Category Officer,"The Category Officer provides specialist procurement advice on a category/range of categories to assist stakeholders to plan, develop, source and manage procurement arrangements to effectively meet business objectives and government directions.",Procurement and Contract Management,Procurement Services,Category Management,Project Officer,Clerk Grade 7/8,"$101,900","$112,800","PANA2, STSO2, PRRI2","ACWI3, COTO2, DERE2, PRAN3",
511111,27,Contracts Officer,"The Contracts Officer establishes and administers contracts, in accordance with the Contract Management Plan and approved procedures, to achieve delivery of contractual obligations to agreed standards. This including recommending authorisation of payments, maintaining contract databases, undertaking issues management and resolution, and ensuring Service Provider compliance with contract requirements. ",Procurement and Contract Management,Contract Management,Contract Management,"Contracts Administrator, Project Officer, Contracts Advisor, Supplier Relationship Manager, Account Manager",Clerk Grade 7/8,"$101,900","$112,800","PRRI2, SURE2, CONM2","ACWI2, COEF3, DERE3, THAN2, PRAN3",
261112,28,Assistant Procurement Analyst,"The Assistant procurement Analyst undertakes a range of research, analysis, reporting and administrative activities to support procurement projects, along with operational activities and assisting stakeholders to manage and deliver sourcing and contract management activities to effectively meet organisational and business objectives.",Procurement and Contract Management,Procurement Analysis,Procurement Analysis,Assistant Business Analyst,Clerk Grade 5/6,"$89,700","$98,900","PANA2, STSO1, PRRI1 ","ACWI2, COTO1, THAN1, TECH2, PRAN1",
591113,29,Assistant Procurement Officer,"The Assistant Procurement Officer provides procurement support and advice and assists stakeholders to plan, develop, source and manage procurement arrangements to effectively meet organisational and business objectives.",Procurement and Contract Management,Procurement Services,Procurement and Strategic Sourcing,"Purchasing Officer, Assistant Project Officer, Assistant Project Coordinator",Clerk Grade 5/6,"$89,700","$98,900","PANA2, STSO1, PRRI1","DIRE2, COEF2, COTO2, DERE2, PLAN2, PRAN2",
224412,30,Assistant Procurement Policy Officer,"The Assistant Procurement Policy Officer undertakes a range of research, analysis and administrative activities to support the formulation of policy advice and recommendations and contribute to the development of policies that support Agency and/or Government commitments.",Procurement and Contract Management,Procurement Advice,Policy and Governance,Assistant Policy Officer,Clerk Grade 5/6,"$89,700","$98,900",,"THAN:1,MASE2, COEF2, COTO1, PLAN2, PRMA2, PRAN2",
591113,31,Assistant Contracts Officer,The Assistant Contracts Officer undertakes a range of administrative activities to support procurement projects with operational activities and assist stakeholders to manage and deliver sourcing activities to effectively meet organisational and business objectives. ,Procurement and Contract Management,Contract Management,Contract Management,"Contract Support Officer, Assistant Account Manager",Clerk Grade 5/6,"$89,700","$98,900","PANA1, STSO2","MASE2, COTO2, WOCO2, PLAN2, PRAN2",
531111,32,Procurement Support Officer,"The Procurement Support Officer provides administrative and support services for procurement teams and projects, including assisting stakeholders to procure goods and services and undertake financial transaction processing to effectively meet organisational and business objectives. ",Procurement and Contract Management,Procurement Services,Procurement and Strategic Sourcing,"Business Support Officer, Administrative Support Officer, Administrative Officer",Clerk Grade 3/4,"$75,900","$83,200",,"MASE1, COTO2, DERE1, TECH2, PRAN2",
,33,Administrative Assistant,The Administrative Assistant provides support services to administrative staff and other team members to enable the efficient operation of the team/unit.,,,,,Clerk Grade 1/2,"$67,900","$73,900",,"MASE1, COTO1, DERE1, TECH1, PRAN1",
,34,Administrative Support Officer,The Administrative Support Officer provides administrative and support services to facilitate the operation of the team/unit.,,,,,Clerk Grade 3/4,"$75,900","$83,200",,"MASE1, COTO1, DERE1, TECH1, PRAN1",
,35,Administrative Officer,The Administrative Officer provides a broad range of administrative services and leverages extensive business unit knowledge to support the unit's program of work and facilitate the delivery of business operations.,,,,,Clerk Grade 5/6,"$89,700","$98,900",,"MASE2, COTO2, DERE2, PLAN2, DEAC1, TECH2, PRAN1",
,36,Administration Coordinator,The Administrative Coordinator oversees the provision of administrative and support services to facilitate the delivery of business operations to agreed standards.,,,,,Clerk Grade 7/8,"$101,900","$112,800",,"MASE3, COEF2, COTO3, DERE2, MAAN2, TECH3, PRAN2",
,37,Executive Support Officer,The Executive Support Officer provides a range of executive support and administrative services to facilitate the delivery of business operations and to support the Senior Executive/s achievement of organisational objectives.,,,,,Clerk Grade 5/6,"$89,700","$98,900",,"ACWI2, MASE2, COTO2, PLAN2, PRMA2, PRAN1",
,38,Executive Assitant,"The Executive Assistant provides a range of executive, secretarial and administrative support services across a range of complex issues to support the Senior Executive/s achievement of organisational objectives.",,,,,Clerk Grade 7/8,"$101,900","$112,800",,"ACWI3, MASE3, COEF2, COTO2, PLAN2, TECH2, PRAN1",
,39,Assistant Project Officer,"The Assistant Project Officer undertakes a range of project research, analysis, reporting, implementation and administrative activities to support the development and delivery of projects, in line with established project plans and objectives.",,,,,Clerk Grade 5/6,"$89,700","$98,900",,"MASE2, COEF2, DERE2, PRMA2, PRAN1",
,40,Project Officer,The Project Officer performs project management and support activities to contribute to the development and delivery of a range of projects in line with established objectives.,,,,,Clerk Grade 7/8,"$101,900","$112,800",,"MASE3, COEF3, DERE3, THAN2, PRMA3, PRAN2",
,41,Senior Project Officer,"The Senior Project Officer manages and coordinates the development, implementation and evaluation of complex projects to achieve project outcomes and support the achievement of organisational objectives.",,,,,Clerk Grade 9/10,"$116,200","$128,000",,"DIRE3, COEF3, INAN3, DERE3, THAN3, MAAN2, PRMA4, PRAN2",1
,42,Assistant Policy Officer,"The Assistant Policy Officer undertakes a range of research, analysis and administrative activities to support the formulation of policy advice and recommendations and contribute to the development of policies that support Agency and/or Government commitments.",,,,,Clerk Grade 5/6,"$89,700","$98,900",,"MASE2, COEF2, COTO1, PLAN2, PRMA2, PRAN1",
,43,Policy Officer,"The Policy Officer coordinates and undertakes policy development, providing analysis and advice, to support Agency and/or Government policy initiatives and commitments.",,,,,Clerk Grade 7/8,"$101,900","$112,800",,"DIRE2, MASE3, COEF3, DERE2, THAN2, PRMA2, PRAN1",
,44,Senior Policy Officer,The Senior Policy Officer manages and coordinates the development and implementation of a range of policy initiatives to contribute to the delivery of policy initiatives that support Agency and/or Government commitments.,,,,,Clerk Grade 9/10,"$116,200","$128,000",,"DIRE3, ACWI3, COEF3, INAN2, DERE3, THAN3, MAAN2, PRMA3, PRAN2",1
,45,Business Analyst,"Identify, review and document EPICs and user stories that align with the scope to improve business systems and to align solutions with business requirements, organisational strategies and plans.",,,,,Clerk Grade 5/6,"$89,700","$98,900",,"MASE3, COTO3, WOCO3, THAN2, TECH3, PRAN2",
261111,46,Senior Business Analyst,"This role identifies, reviews and documents EPICs and user stories that align with the scope to improve business systems and to align solutions with business requirements, organisational strategies and plans. The role also ensures practice is documented and there is consistency of approach to documentation of business processes, requirements (functional and non-functional including EPICs and user stories), business unit strategies and operational plans. ",,,,,Clerk Grade 7/8,"$101,900","$112,800",,"MASE3, COEF4, COTO3, THAN4, MAAN2, PRMA3, PRAN2",
,47,Service Level Analyst,"The Service Level Analyst assists in the development and reporting of service level agreements, operational level agreements and underpinning contracts to meet the support needs of the business.",,,,,Clerk Grade 5/6,"$89,700","$98,900",,"DIRE3, COEF3, PLAN3, PRMA2, PRAN2",
313112,48,Service Desk Officer,"The Service Desk Officer is responsible for providing a wide range of administrative services and coordination support to geographically dispersed teams undertaking service desk and field support activities. The position also assists with activities including resource planning, scheduling, prioritising and work allocations.  ",,,,,Clerk Grade 3/4,"$75,900","$83,200",,"MASE2, COTO2, DERE2, TECH2, PRAN1",
