category code,category,subcategory code,subcategory,subcategory description,level,level name,leveldescription,attribute 1,attribute 2,attribute 3,attribute 4,attribute 5,attribute 6,attribute 7,attribute 8
PRPR,Procurement Professionals Capability Set,STSO,Strategic Sourcing,"Select suppliers of required goods and services based on market evaluation, capability and alignment to the strategic procurement directions of the organisation",5,Level 5 - Advanced professional,Leads procurement teams within an organisation. Influences the organisation to adopt leading-edge procurement strategies and establish best practice. Influences supply markets with innovative sourcing solutions.,Coach and support category managers and procurement professionals in determining the key drivers and sourcing attributes of all procurement categories.,Consult widely through the organisation on the strategic direction of business units and how the procurement function can contribute as a strategic business partner.,Lead the establishment of procurement document frameworks that meet stakeholder and regulatory requirements and deliver optimum strategic outcomes.,Lead the procurement function in ensuring that all supply market engagement activity is of the highest quality and is undertaken consistently with organisational values.,Conduct high-level sensitive or contentious debriefs that could attract political or media interest.,"Develop organisational guidelines and procedures for the development of Contract Management Plans, KPIs, performance reviews, governance structures, resources, benefits tracking and reporting.",Review and report procurement outcomes to the Executive Team/ Procurement Governance.,
PRPR,Procurement Professionals Capability Set,CONE,Commercial Negotiation,"Plan, conduct and analyse the outcomes of commercial negotiations to achieve business objectives",1,Level 1 - Tactical,Undertakes key procurement activities for straightforward goods and services.,Complete and follow a template commercial negotiation plan in preparation for low level procurement negotiations.,Respond to and deal with issues for straightforward procurement negotiations.,Plan and lead limited issue local business procurement negotiations.,Adapt own procurement negotiation approach throughout the process.,,,,
PRPR,Procurement Professionals Capability Set,CONE,Commercial Negotiation,"Plan, conduct and analyse the outcomes of commercial negotiations to achieve business objectives",2,Level 2 - Operational,Undertakes procurement activities for a wide range of goods and services. Provides advice and guidance to key stakeholders on the performance of procurement procedures and processes.,Work with business areas to identify where improvement and negotiation is required in procurement activities and develop basic commercial negotiation plans to suit.,Recognise procurement negotiation issues and options and make informed assessment of negotiation arguments.,Lead straightforward procurement negotiations often during the tendering cycle or as part of a contract review.,Use a range of persuasion methods and simple tactics to achieve successful procurement outcomes.,,,,
PRPR,Procurement Professionals Capability Set,CONE,Commercial Negotiation,"Plan, conduct and analyse the outcomes of commercial negotiations to achieve business objectives",3,Level 3 - Managerial,"Manages strategic procurement activities for complex goods and services. Develops, improves and fulfils organisational and functional objectives in procurement and contracting.","Partner with business areas to prepare and plan the procurement negotiation strategy based on sound knowledge, research and structure.","Thoroughly research the key people, market, supplier, timing and risks for each procurement negotiation and set appropriate targets.",Lead a multi-disciplined negotiating team in complex procurement negotiations (at a regional or cross business unit level).,"Adopt negotiation styles to suit the situation (emotion, logic, threat, bargaining and compromise) and consistently utilise successful negotiating and influencing behaviours.",,,,
PRPR,Procurement Professionals Capability Set,CONE,Commercial Negotiation,"Plan, conduct and analyse the outcomes of commercial negotiations to achieve business objectives",4,Level 4 - Professional,"Formulates direction and advice, manages change, and leads and influences stakeholders in procurement and contracting.",Develop robust negotiation plans with business partners for complex procurement negotiations and coach other procurement staff in how to approach negotiations.,Gather and apply leading edge procurement negotiation thinking and practice across the organisation.,"Lead negotiations for large complex categories and significant projects (e.g. outsourcing agreements, Joint Ventures, partnerships).","Adopt appropriate negotiation styles for all situations (internal and external), and effectively use these to deliver optimal procurement outcomes.",,,,
PRPR,Procurement Professionals Capability Set,CONE,Commercial Negotiation,"Plan, conduct and analyse the outcomes of commercial negotiations to achieve business objectives",5,Level 5 - Advanced professional,Leads procurement teams within an organisation. Influences the organisation to adopt leading-edge procurement strategies and establish best practice. Influences supply markets with innovative sourcing solutions.,Lead business stakeholders in the development of toolkits and frameworks aimed at supporting all areas in undertaking effective procurement negotiations.,Effectively influence the executive team and other internal and external stakeholders to use best practice procurement negotiation principles.,"Provide high level consultancy advice on negotiation process and tactics, as an expert negotiator within the business.",Actively promote and support the development of commercial negotiating skills and practice across the organisation.,"Persuade, influence and condition others to change their position to achieve optimal procurement outcomes, taking a tough negotiating stance when necessary.",,,
PRPR,Procurement Professionals Capability Set,PRRI,Procurement Risk Management,"Identify, assess and mitigate procurement risks",1,Level 1 - Tactical,Undertakes key procurement activities for straightforward goods and services.,Use basic techniques and tools to identify key risks.,Identify risks as required through procurement policy/procedures.,Utilise standard contractual provisions to mitigate contractual business risks.,Identify and track non-compliant procurement behaviours.,,,,
PRPR,Procurement Professionals Capability Set,PRRI,Procurement Risk Management,"Identify, assess and mitigate procurement risks",2,Level 2 - Operational,Undertakes procurement activities for a wide range of goods and services. Provides advice and guidance to key stakeholders on the performance of procurement procedures and processes.,"Identify and evaluate key risks at a contractual level for straightforward arrangements and seek input from other functions as appropriate (e.g. finance, legal etc.).",Input to risk logs and opportunity assessment reports as outlined in the organisational procurement practices.,Develop risk mitigation strategies for straightforward procurement arrangements.,Identify areas of non-compliance to procurement policy and raise with relevant stakeholders.,,,,
PRPR,Procurement Professionals Capability Set,PRRI,Procurement Risk Management,"Identify, assess and mitigate procurement risks",3,Level 3 - Managerial,"Manages strategic procurement activities for complex goods and services. Develops, improves and fulfils organisational and functional objectives in procurement and contracting.",Develop risk mitigation strategies for complex procurement arrangements.,Proactively keep abreast of risk management processes and effectively use systems and practices to input to project risk logs and opportunity assessment activities within own team.,"Develop risk mitigation strategies for complex and large procurement projects, ensure appropriate ownership of risk between the organisation and the supplier (i.e. allocation of risk where it is best managed).",Champion compliance as a key procurement risk mitigation strategy.,,,,
PRPR,Procurement Professionals Capability Set,PRRI,Procurement Risk Management,"Identify, assess and mitigate procurement risks",4,Level 4 - Professional,"Formulates direction and advice, manages change, and leads and influences stakeholders in procurement and contracting.",Lead the development of risk management tools and techniques to identify and prioritise risks to service delivery.,"Work closely with business areas to identify and manage commercial, contractual, operational, financial, reputational, ethical and supply chain risks emanating from procurement activity and supply base arrangements.",Follow procurement risk management processes for major projects and coach others within the team on how to conduct risk assessments using established processes and frameworks.,"Act as an internal consultant on techniques and actions to manage risk for high value complex projects and relationships, and take calculated risks to achieve objectives.",Manage compliance and work with business partners to eliminate noncompliant practices in procurement.,,,
PRPR,Procurement Professionals Capability Set,PRRI,Procurement Risk Management,"Identify, assess and mitigate procurement risks",5,Level 5 - Advanced professional,Leads procurement teams within an organisation. Influences the organisation to adopt leading-edge procurement strategies and establish best practice. Influences supply markets with innovative sourcing solutions.,"Partner with key business stakeholders to develop an organisation wide procurement risk management strategy and consistent, sustainable approach to the identification and assessment of risks and opportunities.","Develop policies, procedures, systems and appropriate review mechanisms for all procurement related risks (Political, Health and Safety, Financial, Commercial, Contractual, Social, Economic, Environmental) to ensure procurement. risks are effectively managed",Champion procurement risk management throughout the organisation and promote a culture of risk management and mitigation balanced with realisation of future opportunities.,Develop procurement compliance management frameworks and consequences for non-compliance.,,,,
PRPR,Procurement Professionals Capability Set,SURE,Supplier Relationship Management ,Establish constructive and innovative strategic relationships based on driving value through appropriate long term relationships,1,Level 1 - Tactical,Undertakes key procurement activities for straightforward goods and services.,"Comply with policies, processes and frameworks during the contract administration and management lifecycle.",Deal effectively with suppliers at a transactional level.,Identify benefits on an ad-hoc basis and work with local benefits realisation mechanisms.,,,,,
PRPR,Procurement Professionals Capability Set,SURE,Supplier Relationship Management ,Establish constructive and innovative strategic relationships based on driving value through appropriate long term relationships,2,Level 2 - Operational,Undertakes procurement activities for a wide range of goods and services. Provides advice and guidance to key stakeholders on the performance of procurement procedures and processes.,Understand supplier segmentation and determine the appropriate type of supplier relationship needed from straightforward areas of expenditure.,Develop appropriate supplier relationships for lower value or lower risk goods and services.,Assess impacts on suppliers and work to eliminate areas of unnecessary costs in straightforward categories.,Track and monitor benefits through supplier relationships for low risk/ spend suppliers and contracts.,,,,
PRPR,Procurement Professionals Capability Set,SURE,Supplier Relationship Management ,Establish constructive and innovative strategic relationships based on driving value through appropriate long term relationships,3,Level 3 - Managerial,"Manages strategic procurement activities for complex goods and services. Develops, improves and fulfils organisational and functional objectives in procurement and contracting.",Use supply positioning to determine the appropriate supplier relationship needed for all categories of expenditure and coach other staff on the application of supplier relationship management (SRM) principles.,Develop sound working relationships with strategic suppliers at an operational level.,Identify areas of waste throughout the supply chain and work with suppliers to eliminate these.,Track and monitor benefits through supplier relationships for high risk/ spend suppliers and contracts.,,,,
PRPR,Procurement Professionals Capability Set,SURE,Supplier Relationship Management ,Establish constructive and innovative strategic relationships based on driving value through appropriate long term relationships,4,Level 4 - Professional,"Formulates direction and advice, manages change, and leads and influences stakeholders in procurement and contracting.",Consult throughout the organisation to support the development of strategic and high risk contracts and supplier relationships.,Establish strong supplier relationships with strategic suppliers at a strategic level.,Identify sources of value through the supplier relationship.,Take action to realise identified opportunities.,Lead supplier development activities for key suppliers and market segments to meet the needs of the organisation.,Develop frameworks to identify and track benefits through supplier relationships.,Establish mechanisms to ensure supplier relationships are effectively governed both within and outside of the procurement function.,
PRPR,Procurement Professionals Capability Set,SURE,Supplier Relationship Management ,Establish constructive and innovative strategic relationships based on driving value through appropriate long term relationships,5,Level 5 - Advanced professional,Leads procurement teams within an organisation. Influences the organisation to adopt leading-edge procurement strategies and establish best practice. Influences supply markets with innovative sourcing solutions.,"Lead or direct the development of contract management, supplier performance and relationship management policies and processes across the organisation.",Establish long term key supplier relationships at CEO level.,Work proactively with suppliers and sectors to identify opportunities to deliver value for all parties.,Develop frameworks and strategies to identify suppliers and supply markets where supplier development activities would be beneficial.,Work with business partners to link procurement benefits into local budgeting processes.,,,
PRPR,Procurement Professionals Capability Set,CONM,Contract Management,"Effectively manage the performance of suppliers through robust contract frameworks, successfully
delivering contractual obligations",1,Level 1 - Tactical,Undertakes key procurement activities for straightforward goods and services.,Follow all required processes in administering straightforward contracts.,Update contract registers and utilise systems to record and manage supplier performance and feedback.,Comply with contract management plans.,Monitor compliance with contract management plans.,"Administer straightforward contracts to ensure accuracy of pricing, scope variations, updates to terms and conditions. Monitor and report on contract milestones and outcomes.","Effectively deal with internal procurement feedback about suppliers on issues such as quality, timeliness, service and price.",Review KPIs and meet with suppliers to monitor and manage routine performance.,
PRPR,Procurement Professionals Capability Set,CONM,Contract Management,"Effectively manage the performance of suppliers through robust contract frameworks, successfully
delivering contractual obligations",2,Level 2 - Operational,Undertakes procurement activities for a wide range of goods and services. Provides advice and guidance to key stakeholders on the performance of procurement procedures and processes.,Systematically follow contract management and administration guidelines on key contracts.,Record contract documentation and performance outcomes.,"Manage suppliers to ensure goods, services and projects are delivered in line with agreed terms and conditions (on-time, on-cost, quality etc.).","Administer routine to complex contracts to ensure accuracy of pricing, scope variations and updates to terms and conditions. Monitor and report on milestones and outcomes.",Undertake internal surveys and performance feedback as input into supplier performance reviews for straightforward contracts.,"Establish KPIs, performance metrics and SLAs for simple straightforward categories with some guidance and support for more complex areas.",Capture and report on contract performance to measure value and effectiveness of incentives.,
PRPR,Procurement Professionals Capability Set,CONM,Contract Management,"Effectively manage the performance of suppliers through robust contract frameworks, successfully
delivering contractual obligations",3,Level 3 - Managerial,"Manages strategic procurement activities for complex goods and services. Develops, improves and fulfils organisational and functional objectives in procurement and contracting.",Utilise tools and systems to analyse and interpret a wide variety of supplier and performance related information to drive better outcomes through the relationship.,"Ensure the contracted services are delivered in accordance with the intent of the contract, risks are identified and performance effectively managed.",Administer complex contracts such as outsourced arrangements and joint ventures.,Review and negotiate contract variations and monitor the contract database to ensure contract details are up to date.,"Work with internal business partners to define and provide a single face to the supply market, ensure agreements are fully understood and utilised and performance issues are addressed effectively.",Effectively analyse data to assess strategic supplier performance and identify changes/improvements needed to deliver better outcomes.,,
PRPR,Procurement Professionals Capability Set,CONM,Contract Management,"Effectively manage the performance of suppliers through robust contract frameworks, successfully
delivering contractual obligations",4,Level 4 - Professional,"Formulates direction and advice, manages change, and leads and influences stakeholders in procurement and contracting.",Establish mechanisms to ensure contracts are effectively governed both within and outside of the procurement function.,Manage and adjust complex and strategic contracts to meet the intent of the business need and continue to add value.,Develop the overall plan for contract administration and set priorities and targets for renewal and extensions based on the business needs and market conditions.,Lead expert reference groups for key areas of spend and effectively work with business partners to support procurement programs and supply chain initiative.,Lead the development and implementation of innovative performance and measurement metrics and incentive schemes.,"Identify and mitigate variation and change claims which arise, and resolve conflict with suppliers.",,
PRPR,Procurement Professionals Capability Set,CONM,Contract Management,"Effectively manage the performance of suppliers through robust contract frameworks, successfully
delivering contractual obligations",5,Level 5 - Advanced professional,Leads procurement teams within an organisation. Influences the organisation to adopt leading-edge procurement strategies and establish best practice. Influences supply markets with innovative sourcing solutions.,Establish and maintain effective frameworks (such as Contract Lifecycle Management systems) and structures to manage all organisational supply arrangements.,Ensure all contracts are effectively reviewed and managed to drive better outcomes.,Drive innovation and best practice throughout the supply chain.,Provide leadership and direction to contract management teams. ,Set the overall business objectives and contract management objectives.,Provide expert advice and strategies on all supplier  related matters at senior levels in the organisation.,Assess strategic suppliers key supply markets to identify opportunities to improve the performance of the supply base.,
PRPR,Procurement Professionals Capability Set,LEAN,Legislative and Policy Environment ,"Ensure that the planning, management and delivery of procurement outcomes is fully consistent with all relevant legislative, probity and policy requirements",1,Level 1 - Tactical,Undertakes key procurement activities for straightforward goods and services.,Undertake procurement activities in accordance with documented practices (covering relevant legislation).,"Address codes of practice within the scope of routine procurement/contract management activity undertaken, seeking advice on probity issues as required.",Take an ethical approach to all procurement activity.,Communicate basic concepts of best practice Public Sector probity and ethical standards as they relate to procurement to other people within their organisation.,Apply basic sustainability decisions in straightforward areas of expenditure.,,,
PRPR,Procurement Professionals Capability Set,LEAN,Legislative and Policy Environment ,"Ensure that the planning, management and delivery of procurement outcomes is fully consistent with all relevant legislative, probity and policy requirements",2,Level 2 - Operational,Undertakes procurement activities for a wide range of goods and services. Provides advice and guidance to key stakeholders on the performance of procurement procedures and processes.,Ensure procurement policies and practices (incorporating relevant legislation) are applied by all users at a local level.,"Address codes of practices for complex  procurement sourcing activity undertaken, seeking advice on probity issues as required.","Undertake procurement activities in accordance with documented practices (covering relevant legislation, regulation, probity and ethical standards).",Coach and support team members  in the application of public sector best practice ethical procurement policies/practices.,Assess social and environmental impact and incorporate social and environmental objectives into all procurement activity.,Provide forward schedules of programs and projects to supply markets.,Develop basic sustainability solutions for straightforward areas of procurement.,
PRPR,Procurement Professionals Capability Set,LEAN,Legislative and Policy Environment ,"Ensure that the planning, management and delivery of procurement outcomes is fully consistent with all relevant legislative, probity and policy requirements",3,Level 3 - Managerial,"Manages strategic procurement activities for complex goods and services. Develops, improves and fulfils organisational and functional objectives in procurement and contracting.",Ensure that all relevant legislative requirements are incorporated into procurement related activities.,Model behaviour on the code of conduct and ensure procurement practices address all legislative requirements and organisational corporate social responsibility (CSR) guidelines and requirements.,Demonstrate full understanding  of public procurement probity and ethical processes and undertake/oversee major tender processes to deliver successful solutions.,Assess the social and environmental impact of procurement activities and work with internal and external stakeholders to address these risks and impacts.,"Undertake sustainability risk assessments (social, economic and environmental) for major projects and incorporate sustainability strategies into sourcing activities.",,,
PRPR,Procurement Professionals Capability Set,LEAN,Legislative and Policy Environment ,"Ensure that the planning, management and delivery of procurement outcomes is fully consistent with all relevant legislative, probity and policy requirements",4,Level 4 - Professional,"Formulates direction and advice, manages change, and leads and influences stakeholders in procurement and contracting.",Interpret and effectively apply the intent of the government procurement framework and all related polices and legislation.,Regularly review and interpret legislative requirements to ensure procurement/contract management policies and practices comply with the intent of the legislation.,"Lead by example and seek to ensure all codes of practice (e.g. Ethics, Probity, Health and Safety) are fully understood and consistently applied to procurement activity across the organisation.","Act as a reference point on knowledge of best practice on Public Sector procurement processes, for senior stakeholders within the organisation.",Interpret government social and environmental objectives and incorporate these into all procurement objectives and sourcing activity.,Work closely with industry bodies and internal stakeholders to proactively develop supply markets to meet future procurement needs.,"Develop leading edge sustainable procurement strategies that drive improved social, economic and environmental outcomes throughout the supply chain.",Champion sustainability within the industry and the organisation.
PRPR,Procurement Professionals Capability Set,LEAN,Legislative and Policy Environment ,"Ensure that the planning, management and delivery of procurement outcomes is fully consistent with all relevant legislative, probity and policy requirements",5,Level 5 - Advanced professional,Leads procurement teams within an organisation. Influences the organisation to adopt leading-edge procurement strategies and establish best practice. Influences supply markets with innovative sourcing solutions.,Regularly review and interpret legislative requirements to ensure procurement policies and practices comply with the intent of the legislation.,Work actively with public sector policy and legislative stakeholders in the development of frameworks and policies for probity in procurement to reflect best practice.,Develop policy and processes for the integration of current ethical standards across all areas of the organisation and integrate the organisation’s Corporate Social Responsibility (CSR) policies and standards into procurement policies. and practices.,Provide expertise in Public Sector legislation and best practice procurement for most senior stakeholders within and outside the organisation.,"Assess the broader social and environmental objectives of government (such as Indigenous and SME participation and development) and incorporate these into procurement policy, planning and sourcing activities.",Monitor the health of the supply market to ensure the organisation adopts a responsible approach to the engagement and development of supply markets.,Lead the development of the organisation’s sustainability strategy/policies for procurement and incorporate these into sourcing practices.,Provide leadership to the industry in sustainability.
PRPR,Procurement Professionals Capability Set,COLA,Contract Law,"Prepare, confirm and approve concise and complete contractual documentation and protect the organisation’s commercial position in areas such as liabilities, indemnities, insurances and warranties",1,Level 1 - Tactical,Undertakes key procurement activities for straightforward goods and services.,Seek advice from senior procurement staff on any contractual issues.,Interpret basic contract terms and conditions and their contextual meaning.,Effectively use template contracts for basic goods and services.,,,,,
